[2023-06-03T12:41:51.915] [FATAL] GET - Remote: undefined, path: /apis
[2023-06-03T12:41:51.939] [FATAL] GET - Remote: undefined, path: /apis/
[2023-06-03T12:41:52.014] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui.css
[2023-06-03T12:41:52.023] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-bundle.js
[2023-06-03T12:41:52.026] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-standalone-preset.js
[2023-06-03T12:41:52.028] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-init.js
[2023-06-03T12:41:52.107] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-init.js
[2023-06-03T12:41:52.132] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-bundle.js
[2023-06-03T12:41:52.139] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-standalone-preset.js
[2023-06-03T12:41:52.734] [FATAL] GET - Remote: undefined, path: /apis/favicon-32x32.png
[2023-06-03T12:42:36.769] [FATAL] GET - Remote: undefined, path: /apis/
[2023-06-03T12:42:36.851] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui.css
[2023-06-03T12:42:36.862] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-bundle.js
[2023-06-03T12:42:36.867] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-standalone-preset.js
[2023-06-03T12:42:36.871] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-init.js
[2023-06-03T12:42:37.446] [FATAL] GET - Remote: undefined, path: /apis/favicon-32x32.png
[2023-06-03T12:42:57.931] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/register
[2023-06-03T12:48:11.650] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/register
[2023-06-03T12:48:34.261] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/register
[2023-06-03T12:49:25.685] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/register
[2023-06-03T12:50:10.104] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/register
[2023-06-03T14:19:05.346] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/register
[2023-06-03T14:19:36.910] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/register
[2023-06-03T14:22:54.851] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/register
[2023-06-03T14:23:20.795] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/register
[2023-06-03T14:23:45.632] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/register
[2023-06-03T14:24:32.131] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/register
[2023-06-03T14:32:28.832] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/register
[2023-06-03T14:32:40.144] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/register
[2023-06-03T14:32:52.289] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/register
[2023-06-03T14:58:54.001] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/register
[2023-06-03T14:59:10.159] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/register
[2023-06-03T15:01:46.361] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/register
[2023-06-03T15:02:10.928] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/register
[2023-06-03T15:02:34.031] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/register
[2023-06-03T15:06:45.871] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/register
[2023-06-03T15:09:13.276] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/register
[2023-06-03T15:11:38.231] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/register
[2023-06-03T15:11:43.161] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/register
[2023-06-03T15:12:55.272] [FATAL] GET - Remote: undefined, path: /apis/
[2023-06-03T15:12:55.376] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui.css
[2023-06-03T15:12:55.389] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-bundle.js
[2023-06-03T15:12:55.410] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-standalone-preset.js
[2023-06-03T15:12:55.414] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-init.js
[2023-06-03T15:12:56.288] [FATAL] GET - Remote: undefined, path: /apis/favicon-32x32.png
[2023-06-03T15:15:47.715] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/register
[2023-06-03T15:16:04.315] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/register
[2023-06-03T15:16:10.985] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/register
[2023-06-03T16:20:41.976] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/register
[2023-06-03T16:24:59.785] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/register
[2023-06-03T16:26:16.881] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/register
[2023-06-03T16:53:55.249] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/register
[2023-06-03T16:54:07.000] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/register
[2023-06-03T17:10:18.538] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/register
[2023-06-03T17:10:26.901] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/register
[2023-06-03T17:10:32.761] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/register
[2023-06-03T17:11:15.392] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/register
[2023-06-03T17:11:31.362] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/register
[2023-06-03T17:11:56.585] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/register
[2023-06-03T17:15:19.567] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/register
[2023-06-03T17:16:11.435] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/register
[2023-06-03T17:19:35.415] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/register
[2023-06-03T17:26:16.707] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/register
[2023-06-03T17:27:29.487] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/register
[2023-06-03T17:27:47.442] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/register
[2023-06-03T17:27:55.288] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/register
[2023-06-03T17:30:07.426] [FATAL] GET - Remote: undefined, path: /apis/
[2023-06-03T17:30:07.488] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui.css
[2023-06-03T17:30:07.492] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-bundle.js
[2023-06-03T17:30:07.498] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-standalone-preset.js
[2023-06-03T17:30:07.500] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-init.js
[2023-06-03T17:30:08.175] [FATAL] GET - Remote: undefined, path: /apis/favicon-32x32.png
[2023-06-03T17:30:21.629] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/login
[2023-06-03T17:41:40.018] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/login
[2023-06-03T17:41:51.601] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/login
[2023-06-03T17:42:58.149] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/login
[2023-06-03T17:44:55.756] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/login
[2023-06-03T17:45:09.787] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/login
[2023-06-03T17:45:19.138] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/login
[2023-06-03T17:45:41.408] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/login
[2023-06-03T17:46:08.461] [FATAL] POST - Remote: http://localhost:3000, path: /api/auth/register
