[2023-06-21T17:02:55.778] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui.css
[2023-06-21T17:02:55.783] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-bundle.js
[2023-06-21T17:02:55.791] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-standalone-preset.js
[2023-06-21T17:02:55.797] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-init.js
[2023-06-21T17:02:56.656] [FATAL] GET - Remote: undefined, path: /apis/favicon-32x32.png
[2023-06-21T17:04:20.561] [FATAL] GET - Remote: undefined, path: /apis/
[2023-06-21T17:04:20.641] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui.css
[2023-06-21T17:04:20.644] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-bundle.js
[2023-06-21T17:04:20.647] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-standalone-preset.js
[2023-06-21T17:04:20.652] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-init.js
[2023-06-21T17:04:20.927] [FATAL] GET - Remote: undefined, path: /apis/favicon-32x32.png
[2023-06-21T17:04:53.383] [FATAL] GET - Remote: undefined, path: /apis/
[2023-06-21T17:04:53.414] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui.css
[2023-06-21T17:04:53.418] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-bundle.js
[2023-06-21T17:04:53.422] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-standalone-preset.js
[2023-06-21T17:04:53.424] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-init.js
[2023-06-21T17:04:53.653] [FATAL] GET - Remote: undefined, path: /apis/favicon-32x32.png
[2023-06-21T17:05:07.301] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-21T17:05:25.711] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-21T17:05:30.892] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-21T17:18:23.208] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-21T17:19:23.801] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-21T17:19:50.600] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-21T17:21:13.040] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-21T17:23:38.514] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-21T17:35:18.543] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-21T17:35:39.821] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-21T17:36:57.275] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-21T17:39:28.765] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-21T17:40:00.794] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-21T17:41:29.225] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
