[2023-06-22T13:52:06.428] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T13:52:13.723] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T13:52:20.790] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T13:53:06.642] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T13:53:15.383] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T13:54:31.692] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T13:56:04.440] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T13:58:39.267] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T13:58:50.152] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T14:00:23.747] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T14:00:36.578] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T14:00:42.714] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T14:00:57.294] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-29T10:58:47.168] [FATAL] GET - Remote: undefined, path: /apis
[2023-06-29T10:58:47.384] [FATAL] GET - Remote: undefined, path: /apis/
[2023-06-29T10:58:47.939] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui.css
